ticker,miss_rate
FSLR,0.0198725359419
FSLY,0.0259121870796997
FSR,0.0012663012663012
FTCH,0.0254464806816855
FTI,0.0067574031395399
FTNT,0.0456201967966674
FTV,0.0317590497737556
FUBO,0.0020049428483163
GD,0.0284818952666421
GE,0.000829766885195
GEHC,0.0407858328721637
GEN,0.0051914712412932
GFI,0.0188416177242992
GFS,0.0301236588470631
GGB,0.0286581435324452
GILD,0.0016953318266091
GIS,0.0059846869807278
GLW,0.0031470231511906
GM,0.0017387675615523
GME,0.0164442217210947
GNW,0.0306089409652652
GOLD,0.0017991888753093
GOOG,0.0171948215707332
GOOGL,0.0168427423792231
GPRO,0.0265623173621516
GPS,0.0052270505073171
GRAB,0.0008452041785375
GRPN,0.0421496768813841
GS,0.0044245328887962
GSK,0.0104725718356685
